llm_model	model_name	provider	is_free	cost	numeric_cost	description
01-ai/yi-large	Yi Large	01.AI	N	$0.000003/1M	3e-06	01.AI: Yi Large ($0.000003/1M)
ai21/jamba-1.6-large	Jamba 1.6 Large	AI21	N	$0.000002/1M	2e-06	AI21: Jamba 1.6 Large ($0.000002/1M)
ai21/jamba-1.6-mini	Jamba Mini 1.6	AI21	N	$0.0000002/1M	2e-07	AI21: Jamba Mini 1.6 ($0.0000002/1M)
agentica-org/deepcoder-14b-preview	Deepcoder 14B Preview	Agentica	N	$0.000000015/1M	1.5e-08	Agentica: Deepcoder 14B Preview ($0.000000015/1M)
agentica-org/deepcoder-14b-preview:free	Deepcoder 14B Preview (free)	Agentica	Y	$0/1M	0.0	Agentica: Deepcoder 14B Preview (free) ($0/1M)
aion-labs/aion-1.0	Aion-1.0	AionLabs	N	$0.000004/1M	4e-06	AionLabs: Aion-1.0 ($0.000004/1M)
aion-labs/aion-1.0-mini	Aion-1.0-Mini	AionLabs	N	$0.0000007/1M	7e-07	AionLabs: Aion-1.0-Mini ($0.0000007/1M)
aion-labs/aion-rp-llama-3.1-8b	Aion-RP 1.0 (8B)	AionLabs	N	$0.0000002/1M	2e-07	AionLabs: Aion-RP 1.0 (8B) ($0.0000002/1M)
alfredpros/codellama-7b-instruct-solidity	CodeLLaMa 7B Instruct Solidity	AlfredPros	N	$0.0000008/1M	8e-07	AlfredPros: CodeLLaMa 7B Instruct Solidity ($0.0000008/1M)
amazon/nova-lite-v1	Nova Lite 1.0	Amazon	N	$0.00000006/1M	6e-08	Amazon: Nova Lite 1.0 ($0.00000006/1M)
amazon/nova-micro-v1	Nova Micro 1.0	Amazon	N	$0.000000035/1M	3.5e-08	Amazon: Nova Micro 1.0 ($0.000000035/1M)
amazon/nova-pro-v1	Nova Pro 1.0	Amazon	N	$0.0000008/1M	8e-07	Amazon: Nova Pro 1.0 ($0.0000008/1M)
anthropic/claude-3-haiku	Claude 3 Haiku	Anthropic	N	$0.00000025/1M	2.5e-07	Anthropic: Claude 3 Haiku ($0.00000025/1M)
anthropic/claude-3-haiku:beta	Claude 3 Haiku (self-moderated)	Anthropic	N	$0.00000025/1M	2.5e-07	Anthropic: Claude 3 Haiku (self-moderated) ($0.00000025/1M)
anthropic/claude-3-opus	Claude 3 Opus	Anthropic	N	$0.000015/1M	1.5e-05	Anthropic: Claude 3 Opus ($0.000015/1M)
anthropic/claude-3-opus:beta	Claude 3 Opus (self-moderated)	Anthropic	N	$0.000015/1M	1.5e-05	Anthropic: Claude 3 Opus (self-moderated) ($0.000015/1M)
anthropic/claude-3-sonnet	Claude 3 Sonnet	Anthropic	N	$0.000003/1M	3e-06	Anthropic: Claude 3 Sonnet ($0.000003/1M)
anthropic/claude-3.5-haiku-20241022:beta	Claude 3.5 Haiku (2024-10-22) (self-moderated) ⚡	Anthropic	N	$0.0000008/1M	8e-07	Anthropic: Claude 3.5 Haiku (2024-10-22) (self-moderated) ⚡ ($0.0000008/1M)
anthropic/claude-3.5-haiku-20241022	Claude 3.5 Haiku (2024-10-22) ⚡	Anthropic	N	$0.0000008/1M	8e-07	Anthropic: Claude 3.5 Haiku (2024-10-22) ⚡ ($0.0000008/1M)
anthropic/claude-3.5-haiku:beta	Claude 3.5 Haiku (self-moderated) ⚡	Anthropic	N	$0.0000008/1M	8e-07	Anthropic: Claude 3.5 Haiku (self-moderated) ⚡ ($0.0000008/1M)
anthropic/claude-3.5-haiku	Claude 3.5 Haiku ⚡	Anthropic	N	$0.0000008/1M	8e-07	Anthropic: Claude 3.5 Haiku ⚡ ($0.0000008/1M)
anthropic/claude-3.5-sonnet-20240620:beta	Claude 3.5 Sonnet (2024-06-20) (self-moderated) ⚡	Anthropic	N	$0.000003/1M	3e-06	Anthropic: Claude 3.5 Sonnet (2024-06-20) (self-moderated) ⚡ ($0.000003/1M)
anthropic/claude-3.5-sonnet-20240620	Claude 3.5 Sonnet (2024-06-20) ⚡	Anthropic	N	$0.000003/1M	3e-06	Anthropic: Claude 3.5 Sonnet (2024-06-20) ⚡ ($0.000003/1M)
anthropic/claude-3.5-sonnet:beta	Claude 3.5 Sonnet (self-moderated) ⚡	Anthropic	N	$0.000003/1M	3e-06	Anthropic: Claude 3.5 Sonnet (self-moderated) ⚡ ($0.000003/1M)
anthropic/claude-3.5-sonnet	Claude 3.5 Sonnet ⚡	Anthropic	N	$0.000003/1M	3e-06	Anthropic: Claude 3.5 Sonnet ⚡ ($0.000003/1M)
anthropic/claude-3.7-sonnet	Claude 3.7 Sonnet	Anthropic	N	$0.000003/1M	3e-06	Anthropic: Claude 3.7 Sonnet ($0.000003/1M)
anthropic/claude-3.7-sonnet:beta	Claude 3.7 Sonnet (self-moderated)	Anthropic	N	$0.000003/1M	3e-06	Anthropic: Claude 3.7 Sonnet (self-moderated) ($0.000003/1M)
anthropic/claude-3.7-sonnet:thinking	Claude 3.7 Sonnet (thinking)	Anthropic	N	$0.000003/1M	3e-06	Anthropic: Claude 3.7 Sonnet (thinking) ($0.000003/1M)
anthropic/claude-opus-4	Claude Opus 4	Anthropic	N	$0.000015/1M	1.5e-05	Anthropic: Claude Opus 4 ($0.000015/1M)
anthropic/claude-sonnet-4	Claude Sonnet 4	Anthropic	N	$0.000003/1M	3e-06	Anthropic: Claude Sonnet 4 ($0.000003/1M)
arcee-ai/coder-large	Coder Large	Arcee AI	N	$0.0000005/1M	5e-07	Arcee AI: Coder Large ($0.0000005/1M)
arcee-ai/maestro-reasoning	Maestro Reasoning	Arcee AI	N	$0.0000009/1M	9e-07	Arcee AI: Maestro Reasoning ($0.0000009/1M)
arcee-ai/spotlight	Spotlight	Arcee AI	N	$0.00000018/1M	1.8e-07	Arcee AI: Spotlight ($0.00000018/1M)
arcee-ai/virtuoso-large	Virtuoso Large	Arcee AI	N	$0.00000075/1M	7.5e-07	Arcee AI: Virtuoso Large ($0.00000075/1M)
arliai/qwq-32b-arliai-rpr-v1	QwQ 32B RpR v1	ArliAI	N	$0.000000015/1M	1.5e-08	ArliAI: QwQ 32B RpR v1 ($0.000000015/1M)
arliai/qwq-32b-arliai-rpr-v1:free	QwQ 32B RpR v1 (free)	ArliAI	Y	$0/1M	0.0	ArliAI: QwQ 32B RpR v1 (free) ($0/1M)
openrouter/auto	Router	Auto	N	$-1/1M	0	Auto Router ($-1/1M)
baidu/ernie-4.5-300b-a47b	ERNIE 4.5 300B A47B	Baidu	N	$0.00000028/1M	2.8e-07	Baidu: ERNIE 4.5 300B A47B  ($0.00000028/1M)
bytedance/ui-tars-1.5-7b	UI-TARS 7B	Bytedance	N	$0.0000001/1M	1e-07	Bytedance: UI-TARS 7B  ($0.0000001/1M)
cohere/command	Command	Cohere	N	$0.000001/1M	1e-06	Cohere: Command ($0.000001/1M)
cohere/command-a	Command A	Cohere	N	$0.000002/1M	2e-06	Cohere: Command A ($0.000002/1M)
cohere/command-r	Command R	Cohere	N	$0.0000005/1M	5e-07	Cohere: Command R ($0.0000005/1M)
cohere/command-r-03-2024	Command R (03-2024)	Cohere	N	$0.0000005/1M	5e-07	Cohere: Command R (03-2024) ($0.0000005/1M)
cohere/command-r-08-2024	Command R (08-2024)	Cohere	N	$0.00000015/1M	1.5e-07	Cohere: Command R (08-2024) ($0.00000015/1M)
cohere/command-r-plus	Command R+	Cohere	N	$0.000003/1M	3e-06	Cohere: Command R+ ($0.000003/1M)
cohere/command-r-plus-04-2024	Command R+ (04-2024)	Cohere	N	$0.000003/1M	3e-06	Cohere: Command R+ (04-2024) ($0.000003/1M)
cohere/command-r-plus-08-2024	Command R+ (08-2024)	Cohere	N	$0.0000025/1M	2.5e-06	Cohere: Command R+ (08-2024) ($0.0000025/1M)
cohere/command-r7b-12-2024	Command R7B (12-2024)	Cohere	N	$0.0000000375/1M	3.75e-08	Cohere: Command R7B (12-2024) ($0.0000000375/1M)
deepseek/deepseek-prover-v2	DeepSeek Prover V2	DeepSeek	N	$0.0000005/1M	5e-07	DeepSeek: DeepSeek Prover V2 ($0.0000005/1M)
deepseek/deepseek-chat	DeepSeek V3	DeepSeek	N	$0.000000272/1M	2.72e-07	DeepSeek: DeepSeek V3 ($0.000000272/1M)
deepseek/deepseek-chat-v3-0324	DeepSeek V3 0324	DeepSeek	N	$0.00000025/1M	2.5e-07	DeepSeek: DeepSeek V3 0324 ($0.00000025/1M)
deepseek/deepseek-chat-v3-0324:free	DeepSeek V3 0324 (free)	DeepSeek	Y	$0/1M	0.0	DeepSeek: DeepSeek V3 0324 (free) ($0/1M)
deepseek/deepseek-v3-base	DeepSeek V3 Base	DeepSeek	N	$0.000000302/1M	3.02e-07	DeepSeek: DeepSeek V3 Base ($0.000000302/1M)
deepseek/deepseek-r1-0528-qwen3-8b:free	Deepseek R1 0528 Qwen3 8B (free) 🧠	DeepSeek	Y	$0/1M	0.0	DeepSeek: Deepseek R1 0528 Qwen3 8B (free) 🧠 ($0/1M)
deepseek/deepseek-r1-0528-qwen3-8b	Deepseek R1 0528 Qwen3 8B 🧠	DeepSeek	N	$0.00000001/1M	1e-08	DeepSeek: Deepseek R1 0528 Qwen3 8B 🧠 ($0.00000001/1M)
deepseek/deepseek-r1:free	R1 (free) 🧠	DeepSeek	Y	$0/1M	0.0	DeepSeek: R1 (free) 🧠 ($0/1M)
deepseek/deepseek-r1-0528:free	R1 0528 (free) 🧠	DeepSeek	Y	$0/1M	0.0	DeepSeek: R1 0528 (free) 🧠 ($0/1M)
deepseek/deepseek-r1-0528	R1 0528 🧠	DeepSeek	N	$0.000000272/1M	2.72e-07	DeepSeek: R1 0528 🧠 ($0.000000272/1M)
deepseek/deepseek-r1-distill-llama-70b:free	R1 Distill Llama 70B (free) 🧠	DeepSeek	Y	$0/1M	0.0	DeepSeek: R1 Distill Llama 70B (free) 🧠 ($0/1M)
deepseek/deepseek-r1-distill-llama-70b	R1 Distill Llama 70B 🧠	DeepSeek	N	$0.00000005/1M	5e-08	DeepSeek: R1 Distill Llama 70B 🧠 ($0.00000005/1M)
deepseek/deepseek-r1-distill-llama-8b	R1 Distill Llama 8B 🧠	DeepSeek	N	$0.00000004/1M	4e-08	DeepSeek: R1 Distill Llama 8B 🧠 ($0.00000004/1M)
deepseek/deepseek-r1-distill-qwen-1.5b	R1 Distill Qwen 1.5B 🧠	DeepSeek	N	$0.00000018/1M	1.8e-07	DeepSeek: R1 Distill Qwen 1.5B 🧠 ($0.00000018/1M)
deepseek/deepseek-r1-distill-qwen-14b:free	R1 Distill Qwen 14B (free) 🧠	DeepSeek	Y	$0/1M	0.0	DeepSeek: R1 Distill Qwen 14B (free) 🧠 ($0/1M)
deepseek/deepseek-r1-distill-qwen-14b	R1 Distill Qwen 14B 🧠	DeepSeek	N	$0.00000015/1M	1.5e-07	DeepSeek: R1 Distill Qwen 14B 🧠 ($0.00000015/1M)
deepseek/deepseek-r1-distill-qwen-32b	R1 Distill Qwen 32B 🧠	DeepSeek	N	$0.000000075/1M	7.5e-08	DeepSeek: R1 Distill Qwen 32B 🧠 ($0.000000075/1M)
deepseek/deepseek-r1-distill-qwen-7b	R1 Distill Qwen 7B 🧠	DeepSeek	N	$0.0000001/1M	1e-07	DeepSeek: R1 Distill Qwen 7B 🧠 ($0.0000001/1M)
deepseek/deepseek-r1	R1 🧠	DeepSeek	N	$0.0000004/1M	4e-07	DeepSeek: R1 🧠 ($0.0000004/1M)
cognitivecomputations/dolphin-mixtral-8x22b	2.9.2 Mixtral 8x22B 🐬	Dolphin	N	$0.0000009/1M	9e-07	Dolphin 2.9.2 Mixtral 8x22B 🐬 ($0.0000009/1M)
